TeamID,team name ,ConfAbbrev
1351,Rider,maac
1352,Robert Morris,horizon
1353,Rutgers,big_ten
1354,South Carolina State,meac
1355,South Dakota State,summit
1356,Southern Illinois,mvc
1357,Sacred Heart,nec
1358,Sam Houston,wac
1359,Samford,southern
1360,San Diego,wcc
1361,San Diego State,mwc
1362,San Francisco,wcc
1363,San Jose State,mwc
1364,UC Santa Barbara,big_west
1365,Santa Clara,wcc
1367,South Carolina Upstate,big_south
1368,Southeastern Louisiana,southland
1369,Southeast Missouri State,ovc
1370,Seattle,wac
1371,Seton Hall,big_east
1372,Stephen F. Austin,wac
1373,Siena,maac
1374,Southern Methodist,aac
1375,South Alabama,sun_belt
1376,South Carolina,sec
1377,South Dakota,summit
1378,South Florida,aac
1379,Southern Mississippi,sun_belt
1380,Southern,swac
1381,Southern Utah,wac
1382,St. Bonaventure,a_ten
1383,St. Francis (NY),nec
1384,Saint Francis (PA),nec
1385,St. John's (NY),big_east
1386,Saint Joseph's,a_ten
1387,Saint Louis,a_ten
1388,Saint Mary's (CA),wcc
1389,Saint Peter's,maac
1390,Stanford,pac_twelve
1391,Stetson,a_sun
1392,Stony Brook,caa
1393,Syracuse,acc
1394,Texas A&M-Corpus Christi,southland
1395,TCU,big_twelve
1396,Temple,aac
1397,Tennessee,sec
1398,Tennessee State,ovc
1399,Tennessee Tech,ovc
1400,Texas,big_twelve
1401,Texas A&M,sec
1402,Texas State,sun_belt
1403,Texas Tech,big_twelve
1404,Tennessee-Martin,ovc
1405,Toledo,mac
1406,Towson,caa
1407,Troy,sun_belt
1408,Tulane,aac
1409,Tulsa,aac
1410,Texas-Rio Grande Valley,wac
1411,Texas Southern,swac
1412,UAB,cusa
1413,UC Davis,big_west
1414,UC Irvine,big_west
1415,UC Riverside,big_west
1416,UCF,aac
1417,UCLA,pac_twelve
1418,Louisiana,sun_belt
1419,Louisiana-Monroe,sun_belt
1420,Maryland-Baltimore County,aec
1421,UNC Asheville,big_south
1422,UNC Greensboro,southern
1423,UNC Wilmington,caa
1424,Nevada-Las Vegas,mwc
1425,Southern California,pac_twelve
1426,UT Arlington,wac
1427,UTSA,cusa
1428,Utah,pac_twelve
1429,Utah State,mwc
1430,Utah Valley,wac
1431,UTEP,cusa
1433,Virginia Commonwealth,a_ten
1434,Valparaiso,mvc
1435,Vanderbilt,sec
1436,Vermont,aec
1437,Villanova,big_east
1438,Virginia,acc
1439,Virginia Tech,acc
1440,VMI,southern
1441,Western Carolina,southern
1442,Western Illinois,summit
1443,Western Kentucky,cusa
1444,Western Michigan,mac
1447,Wagner,nec
1448,Wake Forest,acc
1449,Washington,pac_twelve
1450,Washington State,pac_twelve
1451,Weber State,big_sky
1452,West Virginia,big_twelve
1453,Green Bay,horizon
1454,Milwaukee,horizon
1455,Wichita State,aac
1456,William & Mary,caa
1457,Winthrop,big_south
1458,Wisconsin,big_ten
1459,Wofford,southern
1460,Wright State,horizon
1461,Wyoming,mwc
1462,Xavier,big_east
1463,Yale,ivy
1464,Youngstown State,horizon
1465,California Baptist,wac
1466,North Alabama,a_sun
1467,Merrimack,nec
1468,Bellarmine,a_sun
1469,Utah Tech,wac
1470,Tarleton State,wac
1471,UC San Diego,big_west
1472,St. Thomas,summit
1473,Lindenwood,ovc
1474,Queens (NC),a_sun
1475,Southern Indiana,ovc
1476,Stonehill,nec
1477,Texas A&M-Commerce,southland
