School,AST,SRS,AdjNRtg,kaggle_id,FGA,TOV,OTRB,TRB%,Team
Western Kentucky,13.2,1.43,1.66,1443.0,62.6969697,13.6969697,36.54545455,52.1,Western Kentucky
South Dakota State,12.8,0.71,1.8,1355.0,58.11764706,11.17647059,33.67647059,51.4,South Dakota State
Morehead State,15.1,0.69,2.35,1287.0,57.52941176,11.97058824,30.47058824,56.4,Morehead State
Colgate,15.1,0.06,0.41,1159.0,56.52941176,10.58823529,33.02941176,52.1,Colgate
Long Beach State,15.4,-0.99,-1.49,1253.0,61.91428571,12.62857143,35.48571429,52.1,Long Beach State
Longwood,12.9,-1.48,-1.77,1255.0,59.17647059,12.52941176,29.76470588,56.7,Longwood
Saint Peter's,10.8,-4.13,-5.61,1389.0,55.46875,12.75,33.09375,51.8,Saint Peter's
Stetson,13.5,-4.51,-6.56,1391.0,58.76470588,10.44117647,34.38235294,50.4,Stetson
Montana State,13.1,-4.58,-6.29,1286.0,57.47058824,11.64705882,35.05882353,46.6,Montana State
Howard,13.9,-8.44,-11.8,1224.0,55.14705882,15.67647059,32.26470588,52.7,Howard
Grambling,9.76,-10.17,-14.11,1212.0,53.94117647,13.41176471,33.17647059,49.2,Grambling State
Wagner,12.9,-10.87,-15.35,1447.0,58.06451613,10.0,34.93548387,51.1,Wagner
